tweet,sentiment
akasa air proved worst airline experience bangalore airport checkin staff rude despite willingness pay excess baggage bought two bangalore mumbai tickets 6300 inr paid 5950 inr 5kg overweight luggage feels unfair akasaair,Negative
akasaair problem bangalore airport servers stuck check line last half hour anyone looking resolve,Negative
check bag damaged team boarding unboarding flight sg 496 dated 1809 registered complain 81304 bangalore airport sent couple mail customers catre escalate apellate well,Negative
sister travelling alone infant availed wheelchair due back issuesbut kind problems bangalore airport due indigo airport staff awefulfirst troubled wheel chair assistance check counter,Negative
sent message got response cannot quite believe lack awareness coordination checkin counter amp ticket counter bangalore airport meant daughter cd catch klm flight fm mumbai unacceptable thro ticket booked,Negative
akasaair pathetic airline due reasons 1 website cant print boarding pass 2doesnt assign seat automatically 3check counter mr sanon bangalore airport finds ways 2 extract whatever amount possible priority baggage claim incorrect excess baggage,Negative
punda mavans shouting bla bla bla bla look bangalore airport maintained private organizations siemens fairfax use latest technology right auto check auto ticket procurements maintaining hygiene chennai airport stinking,Negative
bangalore airport digiyatra security checkin boarding flight congested digiyatra absolute waste time amp technology gain pain experiment bangalore airport passangers failed amp disappointing,Negative
bangalore airport dont allow nonpassengers check area,Negative
airvistara awful experience staff bangalore airport male incharge one boy checkin counter rude arrogant dint listen threatened instead side staff adjusting polite,Negative
airarabiagroup worst staff check counter bangalore airport charging incorrectly considering laptop bag part cabin baggage charging big amounts fine without showing official document states price per excess kg,Negative
happened priority check counter bangalore airport booking reference d954kq,Negative
guys anyone missed flight due long queues counters n closed baggage check morning bangalore airport buy new flight ticket board next flight bad experience indigo,Negative
baggage drop available better close bangalore airport open normal check counters instead making people stand queue,Negative
flybus left bangalore airport madikeri 1140 full load passengers stuck kengeri due smoke ac vent passengers stranded waiting alternate arrangement qc check regularly whether bus fit journey,Negative
akasaair dkumarchandel ianuragthakur meevkt rajumishra63 maine 07 june 23 ko akasa air se bangalore airport se lucknow ki flight book ki jiska departure time tha 625 web checkin bhi 7 june ki raat ko hi kar liya tha jis par akasa air ka message aya ki server error k wajah se mera boarding pass generate nahi hua hai,Negative
dont know indigo degrading customer experience day day want passengers print checkin baggage tag see many people standingin queue print bag tag bangalore airport,Negative
airvistara bangalore airport staff making habit bullying people check single piece cabin bag poor management,Negative
ridiculous dumbest process place bangalore airport checkin luggage tubs available self service checkin scanner accepting luggage without tubs implement something cant manage operatedgcaindia,Negative
check baggage hasnt left bangalore airport due mistakenly keeping power bank inside flew flight bengaluru delhi last night claim,Negative
hi missed flight bangalore airport due poor management despite web checking advance even though reached 35 minutes counter akasaair check disappointed bad servicepnr jdc63r,Negative
hey whats selfcheckin facility t2 bangalore airport wasnt working amp top staff unhelpful amp downright rude couldnt even bother inform us issue unacceptable especially premium airline like,Negative
one check baggages lost bangalore airport week since conversation akasa airline resolution far highly frustrating disappointing,Negative
pharmacy inside bangalore airport emergency situation staff expects step buy medicine wait packed que check good service,Negative
used concierge service via magnus tthe first time bangalore airport due wait getting airport queue checkin counters fast track immigration fasttracked security big problem though,Negative
horrible management indigo employes bangalore airport standing queue self check counter good 1015 min drop bags got know later chennai passengers cont,Negative
watch lost bangalore airport security tray check found till date went lost n found dept arrival show big bag watches comman,Negative
akasaair bangalore airport baggage checkin counter pathetic service standing que since 40 mins take 1 hour,Negative
lost luggage bag bangalore airport security check amp mailed full details boarding pass luggage bag photo content product includes bag one responding,Negative
good experience flights bad experience airvistara staff bangalore airport checkin counters check counter staff couldnt verify visa asked book return tickets checkin,Negative
good experience flights bad experience airvistara staff bangalore airport checkin counters checkin counter staff couldnt verify visa asked book return tickets checkin,Negative
Took Air India Bangalore Mumbai Flight delayed bland sandwich served post landing gate didnt open,Negative
